Evaluation

batch_size=10
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=5
data_io='connl-ner-2003'
dataset_sort=False
dev='../wstud-thesis-dittmar/data/targer_dev.txt'
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
epoch_num=100
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=-1
load=None
lr=0.01
lr_decay=0.05
min_epoch_num=50
model='BiRNNCNNCRF'
momentum=0.9
opt='sgd'
patience=15
report_fn='2019_12_07_13-23_34_report.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='../targer-save.sav'
save_best=True
seed_num=42
test='../wstud-thesis-dittmar/data/targer_test.txt'
train='../wstud-thesis-dittmar/data/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
--------------------------------------------------------------------------------------
              0 |           0.00 |           9.79 |           9.30 |          10.20 
              1 |         924.80 |          45.68 |          45.98 |          44.86 
              2 |         772.75 |          55.63 |          55.68 |          53.99 
              3 |         748.16 |          55.73 |          55.00 |          54.83 
              4 |         716.24 |          47.48 |          48.41 |          46.78 
              5 |         694.44 |          56.75 |          56.09 |          54.86 
              6 |         621.77 |          57.20 |          55.36 |          55.89 
              7 |         609.56 |          49.55 |          48.09 |          48.63 
              8 |         604.20 |          57.64 |          56.83 |          56.28 
              9 |         613.36 |          60.90 |          60.75 |          61.42 
             10 |         593.92 |          51.27 |          51.78 |          49.66 
             11 |         673.62 |          59.81 |          58.20 |          58.05 
             12 |         477.63 |          57.42 |          56.98 |          55.80 
             13 |         577.07 |          58.77 |          57.36 |          57.35 
             14 |         533.49 |          61.65 |          59.30 |          59.49 
             15 |         546.65 |          58.21 |          57.03 |          57.54 
             16 |         489.43 |          60.51 |          60.61 |          61.35 
             17 |         570.91 |          60.94 |          61.49 |          58.86 
             18 |         558.10 |          64.80 |          63.31 |          62.64 
             19 |         486.14 |          59.31 |          57.15 |          57.90 
             20 |         410.78 |          62.50 |          58.78 |          60.24 
             21 |         571.15 |          61.05 |          59.53 |          59.71 
             22 |         478.60 |          62.73 |          60.89 |          61.56 
             23 |         445.65 |          63.96 |          61.30 |          62.84 
             24 |         502.22 |          61.69 |          60.51 |          60.73 
             25 |         460.62 |          64.96 |          62.97 |          63.50 
             26 |         449.67 |          62.13 |          59.92 |          60.23 
             27 |         480.93 |          65.28 |          63.43 |          62.04 
             28 |         542.77 |          65.87 |          62.24 |          64.56 
             29 |         440.42 |          65.20 |          63.17 |          61.16 
             30 |         459.61 |          63.50 |          58.93 |          60.60 
             31 |         507.12 |          64.76 |          63.25 |          62.93 
             32 |         469.71 |          64.27 |          61.95 |          61.97 
             33 |         455.67 |          71.32 |          68.74 |          68.88 
             34 |         500.04 |          67.42 |          64.46 |          63.37 
             35 |         433.95 |          63.37 |          60.69 |          60.90 
             36 |         460.63 |          65.30 |          61.14 |          62.02 
             37 |         489.14 |          73.55 |          67.86 |          67.09 
             38 |         388.89 |          67.10 |          64.71 |          64.27 
             39 |         460.48 |          67.10 |          65.60 |          66.59 
             40 |         415.65 |          66.40 |          62.02 |          63.83 
             41 |         458.69 |          57.19 |          55.03 |          55.13 
             42 |         430.33 |          74.64 |          69.48 |          70.80 
             43 |         379.29 |          67.59 |          64.91 |          65.73 
             44 |         336.12 |          61.85 |          59.77 |          58.38 
             45 |         425.35 |          73.09 |          69.47 |          69.83 
             46 |         380.86 |          74.04 |          69.06 |          68.76 
             47 |         397.73 |          71.18 |          68.71 |          66.50 
             48 |         342.55 |          75.55 |          69.85 |          69.57 
             49 |         385.72 |          67.83 |          64.66 |          65.35 
             50 |         316.31 |          71.23 |          68.61 |          67.68 
             51 |         330.01 |          74.68 |          71.73 |          70.02 
             52 |         430.23 |          67.48 |          63.77 |          64.57 
             53 |         370.85 |          66.78 |          64.90 |          63.44 
             54 |         373.47 |          70.00 |          66.07 |          66.66 
             55 |         430.12 |          74.80 |          70.65 |          69.88 
             56 |         369.63 |          74.44 |          67.78 |          68.10 
             57 |         374.91 |          69.96 |          66.45 |          64.89 
             58 |         351.00 |          73.85 |          68.76 |          66.37 
             59 |         385.76 |          67.39 |          62.46 |          60.82 
             60 |         322.29 |          75.30 |          72.14 |          71.38 
             61 |         331.53 |          78.50 |          69.55 |          70.54 
             62 |         374.43 |          70.78 |          68.46 |          65.42 
             63 |         286.30 |          78.88 |          71.80 |          71.95 
             64 |         330.78 |          74.87 |          70.66 |          70.11 
             65 |         376.86 |          72.22 |          68.38 |          66.18 
             66 |         351.58 |          73.94 |          70.94 |          69.10 
             67 |         410.51 |          75.81 |          71.65 |          70.22 
             68 |         346.49 |          72.40 |          69.18 |          66.24 
             69 |         214.84 |          76.73 |          72.97 |          70.54 
             70 |         308.21 |          76.51 |          72.86 |          70.83 
             71 |         276.77 |          76.52 |          71.34 |          70.32 
             72 |         341.08 |          77.77 |          68.60 |          68.95 
             73 |         315.28 |          79.41 |          74.02 |          74.64 
             74 |         356.30 |          75.16 |          72.66 |          70.39 
