Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=500
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=2
load=None
logname='targer-default-capri-patence=200-rnn-hidden-dim=200-epochs=500.log'
lr=0.005
lr_bert=2e-06
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='pretrained'
patience=200
report_fn='targer-default-capri-patence=200-rnn-hidden-dim=200-epochs=500.txt'
rnn_hidden_dim=200
rnn_type='LSTM'
save='targer-default-capri-patence=200-rnn-hidden-dim=200-epochs=500.hdf5'
save_best=True
seed_num=42
special_bert=False
splitter='\t'
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
--------------------------------------------------------------------------------------
              0 |         605.09 |           0.05 |           0.05 |           0.06 
              1 |         538.02 |           0.07 |           0.06 |           0.07 
              2 |         494.02 |           0.09 |           0.08 |           0.09 
              3 |         503.99 |           0.09 |           0.07 |           0.08 
              4 |         505.86 |           0.07 |           0.08 |           0.07 
              5 |         505.45 |           0.09 |           0.08 |           0.08 
              6 |         526.09 |           0.09 |           0.09 |           0.09 
              7 |         505.62 |           0.08 |           0.07 |           0.08 
              8 |         501.42 |           0.12 |           0.09 |           0.10 
              9 |         490.34 |           0.09 |           0.08 |           0.09 
             10 |         482.48 |           0.09 |           0.08 |           0.08 
             11 |         510.11 |           0.13 |           0.09 |           0.10 
             12 |         490.97 |           0.12 |           0.09 |           0.09 
             13 |         475.90 |           0.16 |           0.09 |           0.10 
             14 |         473.30 |           0.11 |           0.08 |           0.10 
             15 |         467.11 |           0.17 |           0.13 |           0.10 
             16 |         479.10 |           0.16 |           0.13 |           0.10 
             17 |         471.85 |           0.14 |           0.13 |           0.11 
             18 |         455.71 |           0.17 |           0.09 |           0.10 
             19 |         465.70 |           0.14 |           0.08 |           0.08 
             20 |         460.84 |           0.19 |           0.08 |           0.11 
             21 |         441.39 |           0.21 |           0.09 |           0.11 
             22 |         450.15 |           0.22 |           0.09 |           0.10 
             23 |         464.31 |           0.27 |           0.14 |           0.12 
             24 |         442.07 |           0.23 |           0.10 |           0.11 
             25 |         441.23 |           0.30 |           0.10 |           0.13 
             26 |         432.59 |           0.31 |           0.10 |           0.13 
             27 |         438.65 |           0.36 |           0.13 |           0.16 
