Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-alpha-match-10'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-alpha-match-10-train | f1-alpha-match-10-dev | f1-alpha-match-10-test 
--------------------------------------------------------------------------------------------------------------
              0 |          95.79 |          37.23 |          36.31 |          37.17 
              1 |          89.49 |          38.16 |          38.29 |          38.21 
              2 |          91.21 |          39.90 |          38.14 |          40.23 
              3 |          93.98 |          39.27 |          38.00 |          40.34 
              4 |          88.01 |          40.11 |          39.86 |          41.91 
              5 |          91.68 |          37.26 |          36.29 |          37.47 
              6 |          90.77 |          40.44 |          40.83 |          41.94 
              7 |          85.10 |          41.96 |          42.11 |          43.92 
              8 |          89.33 |          40.86 |          40.32 |          41.22 
              9 |          90.74 |          42.31 |          39.25 |          42.17 
             10 |          85.61 |          41.52 |          41.49 |          43.33 
             11 |          86.71 |          41.55 |          40.17 |          41.85 
             12 |          81.99 |          43.81 |          42.98 |          44.54 
             13 |          85.91 |          42.11 |          41.57 |          42.71 
             14 |          85.72 |          41.39 |          39.82 |          41.23 
             15 |          77.55 |          41.61 |          40.24 |          42.34 
             16 |          77.75 |          42.56 |          40.08 |          43.09 
             17 |          86.41 |          44.74 |          43.74 |          44.50 
             18 |          84.53 |          38.68 |          36.92 |          39.21 
             19 |          85.44 |          40.14 |          39.03 |          40.65 
             20 |          85.70 |          45.25 |          43.63 |          46.48 
             21 |          78.42 |          44.83 |          42.45 |          45.22 
             22 |          80.54 |          41.75 |          40.73 |          42.26 
             23 |          84.55 |          45.52 |          43.71 |          45.54 
             24 |          85.05 |          46.88 |          45.23 |          47.35 
             25 |          81.24 |          46.70 |          45.82 |          47.23 
             26 |          78.73 |          42.96 |          41.59 |          43.19 
             27 |          79.68 |          47.42 |          46.04 |          47.92 
             28 |          78.36 |          47.23 |          45.68 |          47.53 
             29 |          76.77 |          45.44 |          44.94 |          47.34 
             30 |          82.91 |          43.99 |          41.86 |          44.47 
             31 |          81.69 |          45.78 |          42.63 |          45.13 
             32 |          77.38 |          44.81 |          42.46 |          45.44 
             33 |          88.09 |          47.81 |          46.48 |          48.03 
             34 |          79.60 |          47.74 |          45.99 |          48.82 
             35 |          76.21 |          45.41 |          43.59 |          45.44 
             36 |          79.56 |          44.12 |          42.39 |          43.98 
             37 |          78.39 |          43.56 |          40.74 |          42.87 
             38 |          76.51 |          46.53 |          44.65 |          46.52 
             39 |          72.34 |          44.71 |          43.25 |          44.15 
             40 |          81.93 |          46.25 |          44.38 |          45.87 
             41 |          76.08 |          47.40 |          45.51 |          48.12 
             42 |          71.27 |          45.33 |          41.89 |          43.49 
             43 |          77.54 |          47.16 |          44.84 |          47.01 
             44 |          71.61 |          45.40 |          41.90 |          45.12 
             45 |          79.71 |          48.16 |          45.26 |          45.97 
             46 |          75.53 |          50.38 |          47.75 |          49.20 
             47 |          72.23 |          49.66 |          47.49 |          48.87 
             48 |          75.85 |          46.62 |          42.80 |          46.08 
             49 |          73.66 |          46.41 |          42.98 |          45.67 
             50 |          70.58 |          48.22 |          45.75 |          47.05 
             51 |          74.39 |          49.14 |          45.08 |          47.67 
             52 |          68.67 |          51.68 |          49.99 |          51.25 
             53 |          69.14 |          51.96 |          49.15 |          50.49 
             54 |          68.48 |          50.40 |          46.98 |          50.41 
             55 |          73.21 |          47.40 |          44.52 |          46.25 
             56 |          74.16 |          48.25 |          45.13 |          47.34 
             57 |          72.46 |          51.84 |          49.49 |          50.19 
             58 |          69.35 |          51.21 |          48.48 |          49.35 
             59 |          74.72 |          51.32 |          49.10 |          51.21 
             60 |          71.68 |          50.44 |          46.55 |          48.87 
             61 |          68.27 |          50.47 |          47.21 |          49.39 
             62 |          72.32 |          51.22 |          48.22 |          50.02 
             63 |          67.37 |          51.76 |          49.60 |          49.95 
             64 |          65.50 |          49.61 |          47.09 |          47.39 
             65 |          66.00 |          48.99 |          44.81 |          48.81 
             66 |          67.59 |          50.62 |          47.17 |          50.60 
             67 |          66.03 |          49.69 |          45.41 |          48.24 
             68 |          71.92 |          51.42 |          46.69 |          48.67 
             69 |          66.15 |          50.81 |          47.66 |          48.17 
             70 |          69.39 |          51.58 |          49.00 |          51.20 
             71 |          70.11 |          52.56 |          49.96 |          52.03 
             72 |          65.54 |          51.96 |          48.66 |          51.52 
             73 |          69.19 |          53.61 |          49.94 |          51.93 
             74 |          68.85 |          53.03 |          47.74 |          53.25 
             75 |          63.29 |          53.69 |          49.30 |          53.16 
             76 |          66.97 |          51.90 |          48.17 |          51.95 
             77 |          67.43 |          53.03 |          50.38 |          53.04 
             78 |          65.76 |          53.91 |          49.99 |          52.87 
             79 |          62.66 |          53.67 |          50.61 |          53.09 
             80 |          67.14 |          52.82 |          49.75 |          53.05 
             81 |          64.19 |          54.94 |          50.24 |          53.71 
             82 |          67.57 |          55.04 |          49.84 |          52.38 
             83 |          62.01 |          54.66 |          51.61 |          53.77 
             84 |          66.09 |          52.66 |          48.17 |          50.59 
             85 |          64.29 |          51.57 |          46.65 |          49.38 
             86 |          72.13 |          51.89 |          45.78 |          48.25 
             87 |          70.72 |          53.62 |          47.59 |          50.22 
             88 |          61.74 |          54.30 |          50.22 |          52.90 
             89 |          68.21 |          55.30 |          51.43 |          52.88 
             90 |          65.79 |          53.54 |          48.76 |          51.19 
             91 |          66.45 |          54.16 |          49.19 |          51.70 
             92 |          67.45 |          55.05 |          49.62 |          52.44 
             93 |          58.66 |          54.82 |          50.14 |          52.02 
             94 |          63.78 |          55.95 |          50.50 |          53.34 
             95 |          59.65 |          56.10 |          50.75 |          53.68 
             96 |          65.68 |          56.50 |          51.52 |          54.55 
             97 |          60.03 |          54.44 |          48.95 |          51.71 
             98 |          62.44 |          53.84 |          48.61 |          50.41 
             99 |          63.15 |          54.52 |          49.18 |          51.50 
            100 |          63.41 |          55.48 |          49.72 |          52.08 
            101 |          59.87 |          55.81 |          51.35 |          52.98 
            102 |          60.45 |          55.49 |          52.30 |          53.79 
            103 |          62.56 |          54.59 |          49.43 |          52.20 
            104 |          62.57 |          55.54 |          52.43 |          53.75 
            105 |          63.54 |          56.93 |          52.24 |          54.50 
            106 |          61.63 |          57.36 |          51.97 |          55.27 
            107 |          56.04 |          56.85 |          51.85 |          53.71 
            108 |          60.40 |          55.71 |          51.70 |          53.29 
            109 |          60.92 |          56.75 |          52.40 |          54.75 
            110 |          60.18 |          56.23 |          50.80 |          53.11 
            111 |          60.76 |          56.79 |          51.58 |          55.22 
            112 |          60.76 |          56.77 |          49.70 |          53.60 
            113 |          64.56 |          56.90 |          52.30 |          53.95 
            114 |          64.11 |          55.95 |          49.47 |          53.29 
            115 |          64.20 |          58.52 |          51.12 |          54.79 
            116 |          62.62 |          55.59 |          49.15 |          51.90 
            117 |          56.42 |          57.47 |          51.45 |          54.87 
            118 |          63.93 |          57.64 |          51.21 |          55.08 
            119 |          60.84 |          58.08 |          52.04 |          55.05 
            120 |          56.95 |          58.47 |          51.65 |          54.97 
            121 |          60.77 |          56.79 |          51.24 |          54.30 
            122 |          64.48 |          57.99 |          52.82 |          54.43 
            123 |          56.63 |          57.58 |          51.83 |          53.69 
            124 |          60.24 |          57.71 |          50.44 |          52.91 
            125 |          56.23 |          58.76 |          51.68 |          53.97 
            126 |          52.88 |          58.84 |          51.96 |          53.90 
            127 |          64.20 |          60.03 |          51.26 |          55.19 
            128 |          58.15 |          56.83 |          50.08 |          52.37 
            129 |          55.49 |          59.17 |          52.08 |          55.42 
            130 |          60.67 |          58.05 |          50.44 |          53.52 
            131 |          61.72 |          59.17 |          51.02 |          54.11 
            132 |          59.37 |          57.63 |          50.43 |          53.28 
            133 |          58.26 |          58.30 |          51.50 |          54.07 
            134 |          56.91 |          56.85 |          50.32 |          53.27 
            135 |          65.66 |          58.50 |          50.49 |          54.08 
            136 |          54.53 |          57.18 |          49.64 |          52.45 
            137 |          60.33 |          59.26 |          50.91 |          55.32 
            138 |          60.34 |          59.12 |          51.19 |          54.87 
            139 |          61.71 |          60.98 |          52.14 |          56.31 
            140 |          51.82 |          58.68 |          50.14 |          54.38 
            141 |          50.64 |          58.78 |          50.13 |          54.51 
            142 |          57.99 |          58.61 |          50.38 |          53.27 
            143 |          55.60 |          58.89 |          51.52 |          54.79 
            144 |          54.59 |          60.57 |          52.19 |          54.78 
            145 |          52.61 |          58.17 |          50.45 |          53.92 
            146 |          55.62 |          59.09 |          51.31 |          54.46 
            147 |          55.33 |          57.69 |          49.84 |          52.95 
            148 |          52.90 |          58.99 |          51.01 |          54.39 
            149 |          54.90 |          60.76 |          51.73 |          55.12 
            150 |          55.61 |          56.57 |          48.81 |          51.93 
            151 |          54.03 |          59.99 |          51.95 |          55.55 
            152 |          57.20 |          59.60 |          51.29 |          55.82 
            153 |          52.76 |          59.03 |          51.82 |          53.81 
            154 |          53.25 |          59.34 |          51.85 |          54.05 
            155 |          53.96 |          59.99 |          52.28 |          55.32 
            156 |          55.62 |          56.55 |          49.02 |          51.22 
            157 |          59.71 |          60.07 |          52.72 |          55.40 
            158 |          49.35 |          58.72 |          51.68 |          53.46 
            159 |          53.62 |          59.84 |          52.76 |          54.72 
            160 |          50.39 |          58.66 |          50.59 |          53.24 
            161 |          52.25 |          58.83 |          51.82 |          53.37 
            162 |          64.31 |          58.40 |          50.46 |          54.19 
            163 |          55.43 |          60.58 |          52.79 |          55.88 
            164 |          58.63 |          61.00 |          52.91 |          56.13 
            165 |          48.86 |          61.37 |          51.65 |          54.43 
            166 |          56.23 |          58.40 |          50.83 |          53.30 
            167 |          55.31 |          61.64 |          53.55 |          55.47 
            168 |          57.33 |          60.78 |          52.96 |          54.20 
            169 |          55.08 |          60.96 |          51.64 |          54.46 
            170 |          51.39 |          60.90 |          51.44 |          55.22 
            171 |          56.86 |          61.63 |          52.41 |          56.19 
            172 |          58.29 |          62.15 |          52.15 |          56.05 
            173 |          51.89 |          60.27 |          51.08 |          54.11 
            174 |          56.41 |          61.05 |          50.42 |          55.20 
            175 |          51.34 |          62.00 |          52.95 |          56.74 
            176 |          55.39 |          60.80 |          52.39 |          55.31 
            177 |          53.30 |          61.76 |          51.67 |          55.77 
            178 |          59.73 |          62.30 |          51.78 |          55.70 
            179 |          55.58 |          61.68 |          50.57 |          55.58 
            180 |          52.59 |          61.58 |          52.52 |          54.94 
            181 |          53.82 |          62.62 |          52.13 |          55.18 
            182 |          51.79 |          62.32 |          52.41 |          56.61 
            183 |          54.98 |          62.70 |          52.00 |          56.15 
            184 |          46.56 |          62.23 |          51.94 |          54.93 
            185 |          50.71 |          63.02 |          51.89 |          55.46 
            186 |          53.58 |          60.31 |          51.02 |          52.94 
            187 |          51.14 |          60.85 |          51.46 |          54.60 
            188 |          49.01 |          62.83 |          52.38 |          56.03 
            189 |          52.07 |          62.87 |          51.89 |          55.56 
            190 |          48.00 |          62.41 |          51.99 |          54.51 
            191 |          51.17 |          63.10 |          51.74 |          55.86 
            192 |          48.92 |          61.14 |          50.85 |          54.23 
            193 |          52.46 |          62.33 |          51.41 |          56.39 
            194 |          51.82 |          63.93 |          53.29 |          56.80 
            195 |          50.96 |          63.64 |          52.53 |          55.93 
            196 |          59.85 |          63.34 |          52.66 |          56.22 
            197 |          53.83 |          63.11 |          52.08 |          55.51 
            198 |          49.53 |          63.24 |          53.15 |          56.50 
            199 |          53.11 |          61.63 |          52.23 |          54.35 
            200 |          51.19 |          61.08 |          51.18 |          55.38 
            201 |          49.60 |          62.31 |          51.74 |          56.25 
            202 |          54.02 |          62.78 |          53.01 |          56.33 
            203 |          51.92 |          62.51 |          52.75 |          55.46 
            204 |          55.27 |          61.92 |          51.22 |          55.44 
            205 |          51.60 |          62.19 |          52.18 |          56.56 
            206 |          47.36 |          62.05 |          51.59 |          56.02 
            207 |          50.97 |          63.12 |          51.74 |          56.96 
            208 |          45.10 |          62.75 |          52.53 |          56.58 
            209 |          51.55 |          62.39 |          53.10 |          56.57 
            210 |          50.42 |          63.24 |          52.70 |          56.78 
            211 |          53.10 |          63.99 |          53.08 |          56.54 
            212 |          52.54 |          64.21 |          52.84 |          57.27 
            213 |          44.17 |          64.52 |          53.54 |          58.20 
            214 |          49.15 |          64.21 |          53.67 |          57.18 
            215 |          48.66 |          63.33 |          53.04 |          56.35 
            216 |          48.69 |          64.77 |          53.89 |          59.32 
            217 |          45.42 |          64.39 |          54.35 |          58.72 
            218 |          49.11 |          66.18 |          54.25 |          58.31 
            219 |          53.91 |          64.77 |          53.89 |          58.13 
            220 |          53.89 |          64.74 |          53.55 |          58.53 
            221 |          48.78 |          65.41 |          53.11 |          57.99 
            222 |          48.72 |          64.77 |          53.51 |          58.47 
            223 |          48.67 |          65.81 |          54.63 |          59.04 
            224 |          47.54 |          64.75 |          53.25 |          57.39 
            225 |          47.31 |          65.14 |          54.30 |          58.45 
            226 |          51.08 |          64.24 |          53.08 |          56.11 
            227 |          46.68 |          64.40 |          53.39 |          56.95 
            228 |          53.88 |          65.20 |          54.27 |          58.53 
            229 |          46.70 |          66.10 |          54.64 |          59.10 
            230 |          51.15 |          63.56 |          52.02 |          55.35 
            231 |          47.78 |          64.98 |          54.30 |          57.74 
            232 |          49.74 |          66.25 |          53.98 |          58.23 
            233 |          50.52 |          66.03 |          53.70 |          58.08 
            234 |          53.15 |          65.79 |          53.12 |          57.97 
            235 |          47.46 |          65.01 |          52.33 |          57.17 
            236 |          45.89 |          66.44 |          54.19 |          58.28 
            237 |          49.37 |          65.47 |          53.47 |          59.17 
            238 |          46.21 |          65.45 |          53.36 |          57.35 
            239 |          49.10 |          66.66 |          54.80 |          58.97 
            240 |          51.98 |          66.06 |          54.44 |          58.21 
            241 |          48.70 |          64.65 |          52.37 |          55.38 
            242 |          49.31 |          65.46 |          54.17 |          57.35 
            243 |          50.33 |          65.50 |          54.09 |          57.40 
            244 |          53.41 |          65.84 |          54.00 |          56.65 
            245 |          43.99 |          66.65 |          54.54 |          58.57 
            246 |          47.84 |          65.92 |          53.96 |          58.32 
            247 |          51.23 |          65.75 |          54.42 |          58.12 
            248 |          43.48 |          63.41 |          52.40 |          56.04 
            249 |          48.87 |          64.30 |          51.89 |          55.91 
            250 |          52.31 |          66.46 |          54.20 |          57.87 
            251 |          46.75 |          65.34 |          54.02 |          56.75 
            252 |          44.65 |          64.20 |          52.94 |          56.58 
            253 |          48.11 |          65.66 |          53.39 |          57.13 
            254 |          53.25 |          65.79 |          53.11 |          56.91 
            255 |          45.28 |          66.89 |          54.43 |          57.43 
            256 |          53.11 |          66.89 |          54.85 |          57.84 
            257 |          47.55 |          64.90 |          52.67 |          56.90 
            258 |          50.92 |          66.55 |          53.52 |          56.83 
            259 |          49.58 |          66.08 |          54.30 |          56.79 
            260 |          47.60 |          66.74 |          54.45 |          58.13 
            261 |          48.48 |          64.74 |          53.57 |          57.76 
            262 |          44.95 |          66.10 |          54.08 |          56.77 
            263 |          46.04 |          63.88 |          52.49 |          54.96 
            264 |          49.15 |          65.82 |          53.60 |          56.69 
            265 |          45.60 |          66.93 |          55.17 |          58.41 
            266 |          49.24 |          66.12 |          54.05 |          57.52 
            267 |          40.48 |          67.31 |          55.22 |          58.17 
            268 |          47.79 |          66.64 |          54.20 |          56.92 
            269 |          47.43 |          67.62 |          54.98 |          58.48 
            270 |          46.68 |          66.53 |          54.07 |          56.26 
            271 |          43.66 |          66.23 |          54.20 |          56.51 
            272 |          45.00 |          65.77 |          52.88 |          56.26 
            273 |          42.12 |          67.33 |          54.51 |          57.57 
            274 |          45.30 |          67.29 |          55.04 |          57.57 
            275 |          45.19 |          66.62 |          53.68 |          56.99 
            276 |          45.40 |          67.05 |          54.83 |          57.57 
            277 |          50.62 |          66.65 |          53.57 |          57.11 
            278 |          41.84 |          67.02 |          54.27 |          57.31 
            279 |          50.86 |          66.76 |          54.04 |          56.91 
            280 |          44.93 |          67.07 |          54.54 |          57.70 
            281 |          47.86 |          67.40 |          54.90 |          59.25 
            282 |          44.41 |          68.11 |          54.73 |          57.98 
            283 |          45.81 |          67.41 |          54.08 |          56.91 
            284 |          47.96 |          68.79 |          55.37 |          59.46 
            285 |          45.66 |          67.96 |          56.05 |          59.25 
            286 |          46.90 |          68.57 |          55.65 |          59.04 
            287 |          48.68 |          67.96 |          54.18 |          58.89 
            288 |          48.73 |          67.14 |          53.76 |          56.91 
            289 |          41.36 |          68.03 |          54.63 |          57.22 
            290 |          38.89 |          67.54 |          54.94 |          57.65 
            291 |          49.71 |          68.54 |          55.29 |          57.79 
            292 |          44.13 |          68.51 |          54.98 |          57.63 
            293 |          45.32 |          68.14 |          54.74 |          57.40 
            294 |          43.79 |          67.07 |          54.30 |          57.59 
            295 |          46.45 |          66.26 |          54.14 |          56.79 
            296 |          39.91 |          68.07 |          54.82 |          58.03 
            297 |          44.16 |          68.50 |          54.98 |          57.85 
            298 |          46.12 |          69.34 |          55.86 |          59.43 
            299 |          46.61 |          68.04 |          55.33 |          58.26 
            300 |          44.66 |          68.90 |          55.04 |          58.90 
            301 |          44.27 |          68.54 |          54.70 |          58.94 
            302 |          47.06 |          68.57 |          55.16 |          58.63 
            303 |          49.49 |          69.20 |          55.42 |          59.16 
            304 |          44.84 |          68.99 |          54.72 |          58.63 
            305 |          45.10 |          69.42 |          54.66 |          58.35 
            306 |          46.51 |          68.28 |          53.96 |          57.24 
            307 |          44.75 |          69.55 |          55.13 |          57.83 
            308 |          41.19 |          67.49 |          53.95 |          56.79 
            309 |          43.89 |          69.03 |          54.95 |          57.32 
            310 |          48.98 |          69.14 |          55.75 |          58.07 
            311 |          45.30 |          69.08 |          56.17 |          57.98 
            312 |          45.00 |          68.44 |          53.86 |          57.46 
            313 |          44.19 |          69.17 |          55.86 |          58.05 
            314 |          46.74 |          69.39 |          56.04 |          58.48 
            315 |          43.63 |          69.07 |          55.74 |          58.69 
            316 |          43.22 |          68.69 |          55.65 |          57.14 
            317 |          48.47 |          69.08 |          56.98 |          58.07 
            318 |          43.01 |          66.67 |          53.97 |          56.09 
            319 |          51.02 |          68.45 |          55.27 |          58.12 
            320 |          44.45 |          68.45 |          55.69 |          58.42 
            321 |          45.49 |          68.92 |          55.58 |          58.20 
            322 |          44.74 |          68.90 |          55.51 |          57.43 
            323 |          45.63 |          69.10 |          55.56 |          58.41 
            324 |          44.92 |          69.27 |          55.06 |          58.64 
            325 |          45.74 |          68.48 |          54.34 |          57.47 
            326 |          45.32 |          68.99 |          54.61 |          57.89 
            327 |          49.72 |          68.94 |          54.55 |          57.43 
            328 |          47.93 |          70.37 |          56.35 |          58.90 
            329 |          43.45 |          69.96 |          55.49 |          58.35 
            330 |          45.64 |          70.00 |          55.33 |          58.58 
            331 |          44.77 |          69.87 |          55.00 |          58.16 
            332 |          47.13 |          69.62 |          54.24 |          58.33 
            333 |          46.74 |          70.18 |          55.65 |          58.62 
            334 |          44.58 |          67.81 |          53.32 |          57.47 
            335 |          40.44 |          69.61 |          55.63 |          58.10 
            336 |          45.02 |          70.40 |          55.67 |          58.47 
            337 |          39.53 |          69.69 |          55.71 |          58.49 
            338 |          48.17 |          70.19 |          56.00 |          59.08 
            339 |          46.87 |          70.14 |          55.86 |          58.67 
            340 |          48.82 |          70.32 |          55.70 |          58.77 
            341 |          38.89 |          70.31 |          56.23 |          58.65 
            342 |          45.76 |          69.32 |          54.48 |          57.29 
            343 |          42.65 |          70.41 |          56.24 |          58.96 
            344 |          45.85 |          69.79 |          55.18 |          58.00 
            345 |          47.66 |          69.68 |          55.80 |          58.29 
            346 |          42.73 |          68.93 |          54.46 |          58.01 
            347 |          44.88 |          70.55 |          55.94 |          60.47 
            348 |          42.57 |          70.56 |          55.91 |          59.96 
            349 |          41.57 |          69.49 |          55.47 |          58.37 
            350 |          47.86 |          70.12 |          55.56 |          58.39 
            351 |          46.76 |          70.50 |          55.66 |          58.44 
            352 |          43.77 |          71.56 |          56.27 |          58.90 
            353 |          41.70 |          70.58 |          55.58 |          58.26 
            354 |          41.31 |          70.56 |          55.74 |          58.49 
            355 |          45.79 |          71.05 |          55.06 |          59.04 
            356 |          42.62 |          71.09 |          55.04 |          58.57 
            357 |          47.78 |          70.03 |          55.27 |          58.94 
            358 |          44.07 |          69.73 |          54.92 |          58.18 
            359 |          45.93 |          69.69 |          54.61 |          58.07 
            360 |          47.22 |          70.18 |          55.33 |          58.79 
            361 |          43.93 |          70.72 |          55.39 |          59.45 
            362 |          42.15 |          70.47 |          55.08 |          58.18 
            363 |          41.14 |          70.09 |          54.42 |          57.88 
            364 |          42.77 |          70.83 |          54.60 |          58.99 
            365 |          46.64 |          70.23 |          54.66 |          57.14 
            366 |          41.37 |          71.46 |          55.01 |          58.63 
            367 |          42.66 |          70.75 |          54.96 |          58.59 
            368 |          42.36 |          71.92 |          55.90 |          59.52 
            369 |          38.57 |          68.52 |          54.61 |          57.09 
            370 |          44.50 |          69.74 |          55.05 |          57.68 
            371 |          44.84 |          70.44 |          54.89 |          57.76 
            372 |          47.65 |          71.90 |          56.09 |          59.37 
            373 |          40.25 |          69.82 |          54.98 |          58.38 
            374 |          41.87 |          70.78 |          54.89 |          58.35 
            375 |          42.60 |          71.36 |          55.78 |          58.52 
            376 |          41.75 |          71.02 |          54.95 |          59.22 
            377 |          45.63 |          69.98 |          54.19 |          58.13 
            378 |          43.88 |          71.33 |          56.37 |          59.44 
            379 |          41.96 |          71.00 |          55.67 |          59.63 
            380 |          42.04 |          71.55 |          56.72 |          59.88 
            381 |          44.99 |          72.44 |          56.47 |          59.19 
            382 |          47.16 |          71.40 |          55.28 |          58.93 
            383 |          45.39 |          72.14 |          55.41 |          59.76 
            384 |          44.23 |          72.59 |          56.05 |          60.04 
            385 |          45.21 |          72.37 |          56.00 |          59.69 
            386 |          41.89 |          71.46 |          55.52 |          59.02 
            387 |          41.86 |          72.39 |          56.28 |          60.59 
            388 |          42.94 |          71.46 |          55.66 |          59.05 
            389 |          43.43 |          71.83 |          55.62 |          58.99 
            390 |          39.63 |          72.42 |          55.66 |          59.27 
            391 |          40.39 |          72.37 |          56.11 |          59.66 
            392 |          41.56 |          71.26 |          54.73 |          58.85 
            393 |          44.69 |          72.35 |          55.53 |          58.48 
            394 |          41.80 |          73.00 |          55.82 |          59.51 
            395 |          44.66 |          72.16 |          56.08 |          58.96 
            396 |          44.14 |          72.71 |          56.14 |          58.71 
            397 |          42.36 |          73.00 |          56.77 |          59.27 
            398 |          41.06 |          72.16 |          55.66 |          58.73 
            399 |          42.23 |          72.09 |          55.88 |          58.76 
            400 |          44.03 |          72.57 |          56.08 |          58.88 
            401 |          42.44 |          72.56 |          55.84 |          59.27 
            402 |          41.49 |          71.64 |          54.28 |          58.86 
            403 |          43.14 |          72.38 |          55.75 |          59.55 
            404 |          42.57 |          73.01 |          55.91 |          59.66 
            405 |          41.52 |          72.79 |          55.66 |          59.15 
            406 |          42.99 |          72.05 |          55.16 |          59.51 
            407 |          41.01 |          72.30 |          55.07 |          59.37 
            408 |          43.68 |          72.27 |          56.24 |          59.65 
            409 |          43.63 |          72.51 |          56.47 |          59.70 
            410 |          44.04 |          72.37 |          55.12 |          59.48 
            411 |          40.45 |          72.40 |          54.72 |          58.67 
            412 |          41.83 |          73.30 |          55.71 |          59.37 
            413 |          38.25 |          73.55 |          56.24 |          59.94 
            414 |          39.22 |          73.31 |          55.91 |          59.18 
            415 |          42.89 |          73.44 |          56.58 |          58.99 
            416 |          42.40 |          73.62 |          56.61 |          59.02 
            417 |          45.05 |          73.06 |          56.47 |          59.12 
            418 |          45.16 |          73.96 |          56.75 |          59.13 
            419 |          37.83 |          73.60 |          56.32 |          58.37 
            420 |          36.26 |          73.79 |          56.18 |          59.73 
            421 |          39.75 |          73.01 |          55.79 |          59.26 
            422 |          40.87 |          73.42 |          55.91 |          59.60 
            423 |          43.34 |          72.88 |          55.05 |          58.41 
            424 |          42.40 |          73.95 |          55.88 |          59.27 
            425 |          38.41 |          72.67 |          55.87 |          59.68 
            426 |          39.72 |          73.63 |          56.13 |          59.53 
            427 |          43.38 |          72.96 |          56.62 |          59.82 
            428 |          44.01 |          73.59 |          55.37 |          59.69 
            429 |          40.57 |          74.25 |          56.19 |          61.21 
            430 |          42.92 |          73.51 |          55.98 |          59.71 
            431 |          41.01 |          72.68 |          55.98 |          59.80 
            432 |          38.94 |          71.58 |          54.43 |          58.40 
            433 |          37.09 |          72.10 |          54.70 |          58.73 
            434 |          41.24 |          72.71 |          55.31 |          59.05 
            435 |          42.64 |          74.05 |          55.87 |          59.58 
