Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
--------------------------------------------------------------------------------------
              0 |          95.79 |          56.68 |          55.26 |          56.82 
              1 |          89.49 |          51.54 |          49.99 |          51.82 
              2 |          91.21 |          57.09 |          56.16 |          58.06 
              3 |          93.98 |          59.57 |          56.53 |          61.02 
              4 |          88.01 |          53.94 |          53.24 |          56.26 
              5 |          91.68 |          57.81 |          54.38 |          58.25 
              6 |          90.77 |          50.98 |          49.58 |          53.42 
              7 |          85.10 |          60.42 |          58.66 |          62.87 
              8 |          89.33 |          54.44 |          52.73 |          54.44 
              9 |          90.74 |          60.70 |          57.34 |          62.00 
             10 |          85.61 |          52.87 |          50.20 |          55.97 
             11 |          86.71 |          56.94 |          54.02 |          59.03 
             12 |          81.99 |          61.01 |          58.03 |          62.24 
             13 |          85.91 |          60.75 |          58.51 |          61.52 
             14 |          85.72 |          63.49 |          59.46 |          63.77 
             15 |          77.55 |          62.62 |          59.86 |          62.25 
             16 |          77.75 |          62.85 |          58.94 |          63.49 
             17 |          86.41 |          63.97 |          61.19 |          63.90 
             18 |          84.53 |          57.80 |          52.87 |          57.00 
             19 |          85.44 |          61.65 |          57.21 |          61.07 
             20 |          85.70 |          59.63 |          57.00 |          60.17 
             21 |          78.42 |          66.38 |          61.16 |          64.70 
             22 |          80.54 |          63.08 |          58.57 |          61.59 
             23 |          84.55 |          61.58 |          57.68 |          61.86 
             24 |          85.05 |          63.96 |          60.43 |          64.18 
             25 |          81.24 |          66.30 |          62.37 |          65.95 
             26 |          78.73 |          65.33 |          60.20 |          62.94 
             27 |          79.68 |          65.17 |          61.70 |          65.23 
             28 |          78.36 |          65.97 |          62.48 |          65.92 
             29 |          76.77 |          65.05 |          61.38 |          64.81 
             30 |          82.91 |          65.37 |          61.47 |          63.65 
             31 |          81.69 |          66.00 |          62.85 |          64.73 
             32 |          77.38 |          64.27 |          61.12 |          64.21 
             33 |          88.09 |          64.01 |          60.62 |          63.74 
             34 |          79.60 |          67.74 |          62.27 |          65.90 
             35 |          76.21 |          61.99 |          57.02 |          60.35 
