Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-alpha-match-10'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=5
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNNCRF'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.hdf5'
save_best=True
seed_num=42
special_bert=False
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-alpha-match-10-train | f1-alpha-match-10-dev | f1-alpha-match-10-test 
--------------------------------------------------------------------------------------------------------------
              0 |        1133.80 |          35.71 |          34.73 |          35.97 
              1 |        1050.73 |          34.14 |          33.28 |          34.86 
              2 |         971.64 |          40.33 |          40.27 |          41.84 
              3 |         924.93 |          39.04 |          38.44 |          40.29 
              4 |         870.06 |          43.29 |          43.39 |          45.00 
              5 |         971.65 |          40.10 |          39.06 |          40.02 
              6 |         887.33 |          40.61 |          40.67 |          41.94 
              7 |         826.85 |          43.59 |          43.10 |          45.41 
              8 |         850.36 |          44.18 |          44.24 |          45.64 
              9 |         876.02 |          41.71 |          40.98 |          42.94 
             10 |         827.37 |          44.78 |          44.27 |          46.62 
             11 |         834.96 |          44.22 |          44.08 |          45.83 
             12 |         782.89 |          46.02 |          45.45 |          46.86 
             13 |         817.03 |          45.81 |          45.24 |          47.75 
             14 |         815.39 |          45.14 |          44.00 |          45.81 
             15 |         764.30 |          44.53 |          44.15 |          46.32 
             16 |         772.74 |          45.93 |          45.71 |          47.38 
             17 |         864.26 |          46.05 |          46.08 |          47.78 
             18 |         811.93 |          45.55 |          44.37 |          47.14 
             19 |         857.31 |          46.28 |          45.02 |          47.79 
             20 |         845.76 |          46.57 |          46.00 |          47.74 
             21 |         769.47 |          46.51 |          45.27 |          47.78 
             22 |         840.88 |          46.44 |          44.69 |          47.36 
             23 |         816.82 |          46.87 |          46.26 |          48.41 
             24 |         808.96 |          46.90 |          46.41 |          48.17 
             25 |         817.73 |          46.42 |          45.00 |          47.08 
             26 |         732.80 |          47.56 |          46.74 |          48.85 
             27 |         795.39 |          47.97 |          46.82 |          49.58 
             28 |         758.80 |          46.94 |          46.01 |          48.96 
             29 |         734.63 |          48.22 |          47.52 |          49.02 
             30 |         792.70 |          47.30 |          47.68 |          48.23 
             31 |         740.25 |          49.35 |          48.12 |          49.72 
             32 |         730.88 |          47.02 |          46.74 |          48.56 
             33 |         857.74 |          47.65 |          46.88 |          48.67 
             34 |         749.00 |          48.71 |          48.20 |          49.53 
             35 |         703.96 |          49.33 |          48.34 |          50.49 
             36 |         813.11 |          47.33 |          46.97 |          48.72 
             37 |         771.72 |          47.49 |          45.76 |          47.73 
             38 |         798.57 |          48.65 |          47.57 |          49.57 
             39 |         704.46 |          45.84 |          43.59 |          45.31 
             40 |         796.74 |          48.61 |          46.50 |          48.47 
             41 |         766.36 |          49.51 |          47.83 |          49.73 
             42 |         750.08 |          46.83 |          45.20 |          46.31 
             43 |         777.55 |          47.96 |          48.19 |          49.11 
             44 |         708.05 |          48.29 |          47.65 |          49.28 
             45 |         791.56 |          48.14 |          48.43 |          50.11 
             46 |         812.71 |          49.48 |          48.21 |          50.41 
             47 |         759.51 |          48.72 |          48.21 |          50.17 
             48 |         758.83 |          48.34 |          47.46 |          49.31 
             49 |         720.61 |          48.75 |          46.82 |          49.07 
             50 |         725.37 |          49.53 |          48.28 |          51.11 
             51 |         746.03 |          49.48 |          48.99 |          51.12 
             52 |         675.98 |          48.36 |          48.43 |          49.92 
             53 |         707.30 |          49.36 |          48.64 |          49.90 
             54 |         711.55 |          50.35 |          48.62 |          51.18 
             55 |         720.62 |          46.66 |          44.33 |          46.13 
             56 |         744.77 |          48.90 |          48.15 |          49.36 
             57 |         742.47 |          49.63 |          48.41 |          50.31 
             58 |         756.37 |          49.79 |          48.49 |          50.43 
             59 |         720.92 |          48.47 |          48.13 |          49.70 
             60 |         704.81 |          49.89 |          48.70 |          51.02 
             61 |         694.95 |          49.22 |          48.60 |          49.93 
             62 |         745.87 |          50.15 |          49.58 |          50.95 
             63 |         694.73 |          50.10 |          48.70 |          50.84 
             64 |         652.38 |          50.67 |          50.53 |          51.84 
             65 |         691.08 |          51.46 |          50.09 |          52.45 
             66 |         708.08 |          50.88 |          49.89 |          51.87 
             67 |         689.27 |          50.01 |          47.54 |          49.40 
             68 |         734.03 |          51.28 |          49.71 |          51.36 
             69 |         693.75 |          50.37 |          48.66 |          50.16 
             70 |         714.35 |          50.53 |          49.22 |          51.66 
