Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=200
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-base-capri-patence=200-rnn-hidden-dim=200-epochs=200-lr_bert0.0005.log'
lr=0.005
lr_bert=0.0005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=200
report_fn='targer-xlnet-base-capri-patence=200-rnn-hidden-dim=200-epochs=200-lr_bert0.0005.txt'
rnn_hidden_dim=200
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=200-rnn-hidden-dim=200-epochs=200-lr_bert0.0005.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
--------------------------------------------------------------------------------------
              0 |         102.03 |          51.73 |          48.56 |          51.18 
              1 |          95.81 |          50.39 |          48.00 |          49.87 
              2 |          97.41 |          51.74 |          50.26 |          52.95 
              3 |          98.02 |          52.35 |          51.67 |          53.38 
              4 |          90.46 |          54.99 |          52.42 |          55.72 
              5 |          92.65 |          51.07 |          48.49 |          49.28 
              6 |          92.27 |          57.82 |          55.57 |          58.31 
              7 |          85.17 |          61.46 |          58.12 |          62.73 
              8 |          85.66 |          58.54 |          56.02 |          59.69 
              9 |          88.13 |          60.13 |          57.48 |          61.76 
             10 |          84.58 |          62.75 |          59.23 |          64.05 
             11 |          84.46 |          58.07 |          55.44 |          59.85 
             12 |          79.95 |          62.33 |          58.98 |          62.92 
             13 |          83.95 |          59.91 |          57.57 |          61.24 
             14 |          84.16 |          60.66 |          56.70 |          60.85 
             15 |          77.74 |          60.10 |          57.00 |          60.20 
             16 |          79.44 |          65.30 |          60.97 |          65.18 
             17 |          86.81 |          62.02 |          59.64 |          62.69 
             18 |          83.18 |          58.55 |          54.36 |          57.80 
             19 |          85.54 |          64.79 |          61.25 |          63.67 
             20 |          84.08 |          60.21 |          58.22 |          60.84 
             21 |          77.34 |          64.21 |          61.17 |          65.24 
             22 |          79.47 |          65.42 |          60.33 |          63.62 
             23 |          83.88 |          66.65 |          62.13 |          65.65 
             24 |          84.98 |          66.16 |          61.91 |          66.01 
             25 |          81.83 |          67.34 |          62.75 |          65.59 
             26 |          79.88 |          65.70 |          60.46 |          63.78 
             27 |          78.97 |          67.67 |          62.28 |          66.56 
             28 |          77.52 |          67.19 |          62.59 |          66.38 
             29 |          76.09 |          67.03 |          62.14 |          65.26 
             30 |          82.98 |          67.17 |          63.05 |          66.34 
             31 |          81.10 |          67.54 |          62.67 |          66.31 
             32 |          75.81 |          65.00 |          61.33 |          64.88 
             33 |          87.40 |          65.37 |          62.27 |          65.34 
             34 |          79.12 |          67.58 |          63.29 |          66.25 
             35 |          75.35 |          65.46 |          61.30 |          65.13 
             36 |          78.91 |          67.15 |          61.44 |          64.94 
             37 |          77.70 |          67.17 |          61.49 |          63.55 
             38 |          76.32 |          68.08 |          63.50 |          66.37 
             39 |          73.56 |          67.18 |          62.54 |          65.46 
             40 |          80.35 |          70.35 |          64.35 |          66.84 
             41 |          76.84 |          69.59 |          64.14 |          67.55 
             42 |          71.82 |          70.88 |          63.76 |          66.30 
             43 |          77.12 |          69.37 |          63.85 |          67.72 
             44 |          71.53 |          68.43 |          61.33 |          65.12 
             45 |          80.56 |          68.92 |          62.84 |          67.33 
             46 |          75.04 |          70.08 |          64.04 |          67.69 
             47 |          72.66 |          69.84 |          63.28 |          67.15 
             48 |          76.89 |          71.77 |          64.77 |          69.03 
             49 |          73.84 |          70.69 |          63.31 |          67.94 
             50 |          71.09 |          67.47 |          62.09 |          65.26 
             51 |          75.35 |          71.60 |          64.57 |          68.58 
             52 |          69.42 |          71.75 |          64.97 |          69.40 
             53 |          69.92 |          70.78 |          64.37 |          68.49 
             54 |          70.02 |          67.92 |          62.54 |          66.24 
